# vi:set ts=8 sts=8 sw=8 tw=0:
#
# roma2hira.dat - ローマ字→平仮名変換表
# 
# Last Change: 18-Oct-2003.
# Written By:  Muraoka Taro  <koron@tka.att.ne.jp>

# こいつをカスタマイズすることでローマ字の入力方式が変わります。
# 現在はMS-IME2000を参考に決定しています。
# 漢字コードの違いを吸収する役割も果たします。
# xnとxtuには「ん」と「っ」を指定する役割があります。
# {from} {to}の形式です。
# 現在は{from}は最大7バイトまで{to}は6バイトまでとなっています。
# {from}と{to}の間は空白文字(isspace())で区切ります。

# http://asiamoth.com/mt/archives/2006-08/05_2313.php

td	てん
te	て
tgh	とぅー
tgi	てぃ
tgj	とぅん
tgk	てぃん
tgu	とぅ
th	つう
ti	ち
tj	つん
tk	ちん
tl	とん
tm	ため
tn	たん
to	と
tp	とう
tq	たい
tr	たら
tsa	つぁ
tsd	つぇん
tse	つぇ
tsh	つう
tsi	つぃ
tsj	つん
tsk	つぃん
tsl	つぉん
tso	つぉ
tsq	つぁい
tst	として
tsu	つ
tsz	つぁん
tt	たち
tu	つ
tw	てい
tya	てゃ
tyh	てゅー
tyj	てゅん
tyq	てゃい
tyu	てゅ
tyz	てゃん
tz	たん
u	う
va	う゛ぁ
vd	う゛ぇん
ve	う゛ぇ
vh	う゛ー
vi	う゛ぃ
vj	う゛ん
vk	う゛ぃん
vl	う゛ぉん
vn	う゛ぁん
vo	う゛ぉ
vp	う゛ぉう
vq	う゛ぁい
vu	う゛
vv	う゛ゅー
vw	う゛ぇい
vyh	う゛ゅー
vyj	う゛ゅん
vyu	う゛ゅ
vz	う゛ぁん
wa	わ
wd	うぇん
we	うぇ
wi	うぃ
wk	うぃん
wl	うぉん
wn	わん
wo	を
wp	うぉー
wq	わい
wr	われ
wse	ゑ
wsi	ゐ
wso	うぉ
wt	わた
ww	うぇい
wz	わん
xa	しゃ
xd	しぇん
xe	しぇ
xh	しゅう
xi	し
xj	しゅん
xk	しん
xl	しょん
xn	しゃん
xo	しょ
xp	しょう
xq	しゃい
xu	しゅ
xw	しぇい
xz	しゃん
ya	や
yd	いぇん
ye	いぇ
yf	ゆ
yh	ゆう
yj	ゆん
yl	よん
yo	よ
yp	よう
yq	やい
yr	よる
yu	ゆ
yw	いぇい
yz	やん
za	ざ
zc	ざ
zd	ぜん
ze	ぜ
zh	ずう
zi	じ
zj	ずん
zk	じん
zl	ぞん
zn	ざん
zo	ぞ
zp	ぞう
zq	ざい
zr	ざる
zu	ず
zv	ざい
zw	ぜい
zx	ぜい
zyi	ずぃ
zz	ざん
